Mach,Alpha,interval,CD_delta_per_deg,CL_delta_per_deg,CM_delta_per_deg
0.6,0,0_to_4,0.036335249999999986,-0.021419749999999998,0.0089085
0.6,0,0_to_8,0.018674250000000003,-0.015074875,0.007826
0.6,0,4_to_8,0.001013250000000021,-0.008730000000000002,0.0067434999999999995
0.6,5,0_to_4,0.013071,-0.024638499999999994,0.0154
0.6,5,0_to_8,0.003428125000000004,-0.023303499999999998,0.0122475
0.6,5,4_to_8,-0.006214749999999991,-0.021968500000000002,0.009095
0.6,10,0_to_4,0.014965499999999965,-0.019067750000000022,0.008545
0.6,10,0_to_8,0.010766625000000002,-0.025660125000000006,0.01067
0.6,10,4_to_8,0.006567750000000039,-0.03225249999999999,0.012795
0.8,0,0_to_4,0.052557750000000014,-0.02975875,0.00434725
0.8,0,0_to_8,0.005742124999999987,-0.021541875,0.005555625
0.8,0,4_to_8,-0.04107350000000004,-0.013324999999999997,0.006764
0.8,5,0_to_4,0.021113500000000007,-0.011870500000000006,0.014680000000000002
0.8,5,0_to_8,0.010472124999999999,-0.018368000000000002,0.011957500000000001
0.8,5,4_to_8,-0.00016925000000000967,-0.024865500000000002,0.009235
0.8,10,0_to_4,0.01775475000000004,-0.015814999999999996,0.008494999999999999
0.8,10,0_to_8,0.005658125000000014,-0.018895875,0.0103875
0.8,10,4_to_8,-0.006438500000000014,-0.021976750000000003,0.01228
1.2,0,0_to_4,0.011067250000000028,-0.0074375,0.00202025
1.2,0,0_to_8,0.006871999999999989,-0.010488750000000002,0.004403
1.2,0,4_to_8,0.00267674999999995,-0.013540000000000002,0.00678575
1.2,5,0_to_4,0.013043250000000006,-0.014863750000000002,0.0085975
1.2,5,0_to_8,0.005541999999999991,-0.01449825,0.007892125
1.2,5,4_to_8,-0.0019592500000000235,-0.01413275,0.00718675
1.2,10,0_to_4,0.009029750000000003,-0.0073235000000000106,0.0054175000000000004
1.2,10,0_to_8,0.0019689999999999985,-0.011178125000000004,0.0068312500000000005
1.2,10,4_to_8,-0.005091750000000006,-0.015032749999999998,0.008245
1.6,0,0_to_4,0.010557000000000039,-0.0114045,0.00150475
1.6,0,0_to_8,0.008703500000000003,-0.010913500000000001,0.003996625
1.6,0,4_to_8,0.006849999999999967,-0.010422500000000001,0.006488500000000001
1.6,5,0_to_4,0.009877250000000004,-0.011914250000000001,0.00652975
1.6,5,0_to_8,0.004529375000000002,-0.012436375,0.006438125
1.6,5,4_to_8,-0.0008184999999999998,-0.012958499999999998,0.006346500000000001
1.6,10,0_to_4,0.00808749999999997,-0.007245749999999995,0.006272499999999999
1.6,10,0_to_8,0.0032179999999999986,-0.010761125000000003,0.006820125
1.6,10,4_to_8,-0.0016514999999999724,-0.014276500000000011,0.00736775
2.0,0,0_to_4,0.011585999999999985,-0.010509500000000001,0.0044475
2.0,0,0_to_8,0.007303250000000011,-0.010146,0.004983875
2.0,0,4_to_8,0.003020500000000037,-0.0097825,0.00552025
2.0,5,0_to_4,0.01026125,-0.011679250000000002,0.005715
2.0,5,0_to_8,0.019445749999999984,0.0034156249999999985,0.0053195
2.0,5,4_to_8,0.028630249999999968,0.0185105,0.0049239999999999996
2.0,10,0_to_4,0.007188000000000028,-0.0016007500000000119,0.00362
2.0,10,0_to_8,0.0005451250000000074,-0.008893750000000006,0.00596
2.0,10,4_to_8,-0.006097750000000013,-0.01618675,0.0083
