Mach,Alpha,CD_nonlinearity,CL_nonlinearity,CM_nonlinearity
0.6,0,-0.14128799999999986,0.050759,-0.008660000000000008
0.6,5,-0.07714299999999996,0.010679999999999967,-0.02522
0.6,10,-0.033590999999999704,-0.05273899999999987,0.017
0.8,0,-0.3745250000000002,0.06573500000000002,0.009667000000000002
0.8,5,-0.08513100000000007,-0.051979999999999985,-0.02178000000000001
0.8,10,-0.09677300000000022,-0.02464700000000003,0.01514
1.2,0,-0.033562000000000314,-0.024410000000000015,0.019062
1.2,5,-0.06001000000000012,0.00292400000000001,-0.005642999999999999
1.2,10,-0.056486000000000036,-0.030836999999999948,0.011309999999999997
1.6,0,-0.014828000000000285,0.003928000000000001,0.019935
1.6,5,-0.042783000000000015,-0.004176999999999986,-0.0007329999999999975
1.6,10,-0.03895599999999977,-0.028123000000000065,0.004381000000000003
2.0,0,-0.03426199999999979,0.002908000000000008,0.004291000000000003
2.0,5,0.07347599999999987,0.120759,-0.0031639999999999984
2.0,10,-0.05314300000000016,-0.05834399999999995,0.01872
