Mach,Alpha,Delta,dCD,dCL,dCM
0.6,0,4,0.14534099999999994,-0.08567899999999999,0.035634
0.6,5,4,0.052284,-0.09855399999999997,0.0616
0.6,10,4,0.05986199999999986,-0.07627100000000009,0.03418
0.8,0,4,0.21023100000000006,-0.119035,0.017389
0.8,5,4,0.08445400000000003,-0.047482000000000024,0.05872000000000001
0.8,10,4,0.07101900000000017,-0.06325999999999998,0.033979999999999996
1.2,0,4,0.044269000000000114,-0.02975,0.008081
1.2,5,4,0.052173000000000025,-0.05945500000000001,0.03439
1.2,10,4,0.03611900000000001,-0.029294000000000042,0.021670000000000002
1.6,0,4,0.042228000000000154,-0.045618,0.006019
1.6,5,4,0.039509000000000016,-0.047657000000000005,0.026119
1.6,10,4,0.03234999999999988,-0.02898299999999998,0.025089999999999998
2.0,0,4,0.04634399999999994,-0.042038000000000006,0.01779
2.0,5,4,0.041045,-0.04671700000000001,0.02286
2.0,10,4,0.02875200000000011,-0.0064030000000000475,0.01448
0.6,0,8,0.14939400000000003,-0.120599,0.062608
0.6,5,8,0.027425000000000033,-0.18642799999999998,0.09798
0.6,10,8,0.08613300000000002,-0.20528100000000005,0.08536
0.8,0,8,0.045936999999999895,-0.172335,0.044445
0.8,5,8,0.08377699999999999,-0.14694400000000002,0.09566000000000001
0.8,10,8,0.04526500000000011,-0.151167,0.0831
1.2,0,8,0.054975999999999914,-0.08391000000000001,0.035224
1.2,5,8,0.04433599999999993,-0.115986,0.063137
1.2,10,8,0.015751999999999988,-0.08942500000000003,0.054650000000000004
1.6,0,8,0.06962800000000002,-0.08730800000000001,0.031973
1.6,5,8,0.03623500000000002,-0.099491,0.051505
1.6,10,8,0.02574399999999999,-0.08608900000000003,0.054561
2.0,0,8,0.05842600000000009,-0.081168,0.039871
2.0,5,8,0.15556599999999987,0.027324999999999988,0.042556
2.0,10,8,0.004361000000000059,-0.07115000000000005,0.04768
