Mach,Alpha,Delta,CD,CL,CM,Alpha_fin
0.6,0,0,1.230227,0.001979,-0.00407,0
0.6,5,0,1.396429,0.345479,-0.11336,5
0.6,10,0,1.439834,0.682969,-0.15906,10
0.8,0,0,1.141537,0.020395,0.012415,0
0.8,5,0,1.307163,0.26307,-0.11668,5
0.8,10,0,1.464308,0.634922,-0.15455,10
1.2,0,0,1.544195,-0.01867,0.00494,0
1.2,5,0,1.628943,0.243323,-0.04305,5
1.2,10,0,1.765214,0.536374,-0.06008,10
1.6,0,0,1.650186,0.000338,0.008855,0
1.6,5,0,1.713069,0.195519,-0.01831,5
1.6,10,0,1.830381,0.526455,-0.04312,10
2.0,0,0,1.656628,0.000128,-0.00153,0
2.0,5,0,1.720072,0.206215,-0.02899,5
2.0,10,0,1.837759,0.597759,-0.07091,10
0.6,0,4,1.375568,-0.0837,0.031564,-4
0.6,5,4,1.448713,0.246925,-0.05176,1
0.6,10,4,1.499696,0.606698,-0.12488,6
0.8,0,4,1.351768,-0.09864,0.029804,-4
0.8,5,4,1.391617,0.215588,-0.05796,1
0.8,10,4,1.535327,0.571662,-0.12057,6
1.2,0,4,1.588464,-0.04842,0.013021,-4
1.2,5,4,1.681116,0.183868,-0.00866,1
1.2,10,4,1.801333,0.50708,-0.03841,6
1.6,0,4,1.692414,-0.04528,0.014874,-4
1.6,5,4,1.752578,0.147862,0.007809,1
1.6,10,4,1.862731,0.497472,-0.01803,6
2.0,0,4,1.702972,-0.04191,0.01626,-4
2.0,5,4,1.761117,0.159498,-0.00613,1
2.0,10,4,1.866511,0.591356,-0.05643,6
0.6,0,8,1.379621,-0.11862,0.058538,-8
0.6,5,8,1.423854,0.159051,-0.01538,-3
0.6,10,8,1.525967,0.477688,-0.0737,2
0.8,0,8,1.187474,-0.15194,0.05686,-8
0.8,5,8,1.39094,0.116126,-0.02102,-3
0.8,10,8,1.509573,0.483755,-0.07145,2
1.2,0,8,1.599171,-0.10258,0.040164,-8
1.2,5,8,1.673279,0.127337,0.020087,-3
1.2,10,8,1.780966,0.446949,-0.00543,2
1.6,0,8,1.719814,-0.08697,0.040828,-8
1.6,5,8,1.749304,0.096028,0.033195,-3
1.6,10,8,1.856125,0.440366,0.011441,2
2.0,0,8,1.715054,-0.08104,0.038341,-8
2.0,5,8,1.875638,0.23354,0.013566,-3
2.0,10,8,1.84212,0.526609,-0.02323,2
