Mach,Delta,trim_alpha_deg,dCM_dAlpha_per_deg,static_stable
0.6,4,1.89405213383899,-0.0166648,True
0.6,8,3.959657999404746,-0.0147836,True
0.8,0,0.4808474379333049,-0.025819,True
0.8,4,1.6979627181988062,-0.0175528,True
0.8,8,3.650487930148947,-0.015576000000000001,True
1.2,0,0.5146905605334445,-0.009597999999999999,True
1.2,4,3.002859646695263,-0.0043362,True
1.2,8,8.936003448681271,-0.0051034,True
1.6,0,1.6298545923062764,-0.005433,True
1.6,4,6.511087890398235,-0.0051678,True
2.0,4,3.6310853059401516,-0.004478,True
2.0,8,6.843406892053484,-0.007359200000000001,True
