Mach,Alpha,CD_delta_per_deg,CL_delta_per_deg,CM_delta_per_deg
0.6,0,-0.022038544187499995,-0.010671091812499998,0.005104008750000001
0.6,5,-0.0172461508125,-0.0037567194374999993,0.0018321668125
0.6,10,-0.017154109624999997,0.008395430499999999,-0.0020102738750000003
0.8,0,-0.005529795250000011,-0.009632226874999998,0.005822675187499999
0.8,5,-0.014349336437499999,-0.00014525106249999985,0.002230062625
0.8,10,-0.012852536375000001,0.009254960874999996,-0.0023678961875000003
1.2,0,-0.008917546437500007,-0.01706191575,0.008988795875
1.2,5,-0.010634669750000006,-0.0032918752499999995,0.0023539888125
1.2,10,-0.008394933812499991,0.013564040562500001,-0.005777696000000001
1.6,0,-0.008307091187500004,-0.015458954937500002,0.00833668875
1.6,5,-0.010328092875,-0.0022286895625,0.0019048219999999996
1.6,10,-0.00930999537499999,0.012434880874999998,-0.0056146420624999995
2.0,0,-0.007173092187499994,-0.0114846845625,0.0061370070625
2.0,5,-0.016083051749999994,-0.0103536386875,0.002723371125
2.0,10,-0.007691384687500011,0.005545147187499995,-0.0019528495000000002
