Mach,Alpha,Delta,dCD,dCL,dCM
0.6,0,8,0.07924083100000012,-0.289360234,0.140202128
0.6,5,8,0.02854313900000016,-0.38658189600000004,0.18301758599999998
0.6,10,8,-0.08990272899999985,-0.524110518,0.270637977
0.8,0,8,0.10709276299999981,-0.300440053,0.150913801
0.8,5,8,0.0010786010000001234,-0.33424248700000003,0.207216407
0.8,10,8,-0.068363532,-0.5365211860000001,0.293303975
1.2,0,8,0.03643097599999989,-0.376718889,0.18560284
1.2,5,8,-0.008295251000000059,-0.43999406300000005,0.230553927
1.2,10,8,-0.08787507399999983,-0.5715925409999999,0.317152134
1.6,0,8,0.04281753999999993,-0.334404658,0.174202143
1.6,5,8,-0.023977479000000024,-0.369726786,0.200487123
1.6,10,8,-0.09294279499999991,-0.43051784400000004,0.24151931
2.0,0,8,0.025792671000000045,-0.264629188,0.136579449
2.0,5,8,-0.005218166999999996,-0.282393423,0.158942824
2.0,10,8,-0.05198911300000009,-0.317203844,0.184309099
