Mach,Delta,trim_alpha_deg,dCM_dAlpha_per_deg,static_stable
0.6,-8,3.8853739449177866,-0.015066243000000002,True
0.6,0,0.0,-0.0340992288,True
0.6,8,5.527487440335908,-0.023737896,True
0.8,-8,3.6635837227840558,-0.0157635262,True
0.8,0,0.0,-0.0385204076,True
0.8,8,5.571070156889729,-0.0255911972,True
1.2,-8,8.86309390490021,-0.0052050042,True
1.2,0,0.0,-0.0345565372,True
1.2,8,6.850077150755113,-0.0312263956,True
1.6,0,0.0,-0.0273551476,True
1.6,8,7.241701693476451,-0.0284209916,True
2.0,-8,6.8180700410707775,-0.0074482642000000005,True
2.0,0,0.0,-0.020365484,True
2.0,8,7.54841023829098,-0.0224121702,True
