Mach	Alpha	Delta	CD	CL	CM
0.6	0	0	0.947763666	0	0
0.6	5	0	1.114436013	0.495175707	-0.170496144
0.6	10	0	1.33476709	1.135844857	-0.376806015
0.8	0	0	1.014135248	0	0
0.8	5	0	1.160391496	0.447879717	-0.192602038
0.8	10	0	1.374957438	1.158183146	-0.406645592
1.2	0	0	1.418571161	0	0
1.2	5	0	1.511773663	0.514683167	-0.172782686
1.2	10	0	1.740503534	1.234602909	-0.415512871
1.6	0	0	1.543879961	0	0
1.6	5	0	1.608618668	0.430163388	-0.136775738
1.6	10	0	1.80010804	1.069842089	-0.319912883
2	0	0	1.5745962	0	0
2	5	0	1.623411897	0.350231502	-0.10182742
2	10	0	1.774733463	0.935298903	-0.239254546
0.6	0	8	1.027004497	-0.289360234	0.140202128
0.6	5	8	1.142979152	0.108593811	0.012521442
0.6	10	8	1.244864361	0.611734339	-0.106168038
0.8	0	8	1.121228011	-0.300440053	0.150913801
0.8	5	8	1.161470097	0.11363723	0.014614369
0.8	10	8	1.306593906	0.62166196	-0.113341617
1.2	0	8	1.455002137	-0.376718889	0.18560284
1.2	5	8	1.503478412	0.074689104	0.057771241
1.2	10	8	1.65262846	0.663010368	-0.098360737
1.6	0	8	1.586697501	-0.334404658	0.174202143
1.6	5	8	1.584641189	0.060436602	0.063711385
1.6	10	8	1.707165245	0.639324245	-0.078393573
2	0	8	1.600388871	-0.264629188	0.136579449
2	5	8	1.61819373	0.067838079	0.057115404
2	10	8	1.72274435	0.618095059	-0.054945447
0.6	0	-8	1.379621204	-0.118622765	0.058537988
0.6	5	-8	1.418917565	0.168701322	-0.016793227
0.6	10	-8	1.519330115	0.477407451	-0.074003656
0.8	0	-8	1.209704735	-0.146324423	0.057750998
0.8	5	-8	1.39105948	0.115961247	-0.021066633
0.8	10	-8	1.512234488	0.473582586	-0.075455278
1.2	0	-8	1.59768288	-0.103728237	0.041782106
1.2	5	-8	1.673633128	0.127359108	0.02010742
1.2	10	-8	1.786947401	0.445985719	-0.005917601
1.6	0	-8	1.71961096	-0.087061379	0.040815123
1.6	5	-8	1.749890675	0.096095635	0.033234233
1.6	10	-8	1.856125171	0.440366151	0.0114407
2	0	-8	1.715158346	-0.080874235	0.038387336
2	5	-8	1.875522558	0.233496298	0.013541466
2	10	-8	1.845806505	0.529372704	-0.023699855
